Type,Name,Description,Image,Reference,Demo,Year,Author,Publication,Pattern,Licence,Auhtor
Color motion,Heat devil #6,The image appears to wave or to be like a heat devil,https://images2.imgbox.com/2c/66/kgZzyBzJ_o.gif,http://www.ritsumei.ac.jp/~akitaoka/kagero-e.html,,2004,Kitaoka,,,,
Color motion,A through,The left half appears to move leftward while the right half rightward.,https://images2.imgbox.com/22/19/jKhLFjhb_o.gif,http://www.ritsumei.ac.jp/~akitaoka/motion2e.html,,2004,Kitaoka,,Color and Contrast,,
Color motion,Dorayaki,Rows of dorayaki (kinds of cakes) move.,https://images2.imgbox.com/5f/a0/AeCwgRHQ_o.gif,http://www.ritsumei.ac.jp/~akitaoka/motion2e.html,,2004,Kitaoka,,,,
Squares and dots,Trampoline,The inset appears to move. This figure consists of squares.,https://thumbs2.imgbox.com/f2/0f/l7R7sbpa_t.gif,http://www.ritsumei.ac.jp/~akitaoka/motion-e.html,,2000,Kitaoka,,,©︎ Kitaoka 2000,
Squares and dots,Makudonarudo,"*Japanese pronunciation of McDonald's

Each row appears to move in the horizontal direction.",https://images2.imgbox.com/06/8d/iUMzM0h1_o.gif,http://www.ritsumei.ac.jp/~akitaoka/motion-e.html,,2000,Kitaoka,,,,
Squares and dots,Watashi,"*Ferry boat

The inset appears to move in the horizontal direction.",https://images2.imgbox.com/d6/a9/FLGC7UDg_o.gif,http://www.ritsumei.ac.jp/~akitaoka/motion-e.html,,2000,Kitaoka,,Black and White Dots,,
Color motion,Rollers,,https://images2.imgbox.com/ba/c0/XF3MbViU_o.jpg,http://www.ritsumei.ac.jp/~akitaoka/index-e.html,,2004,Kitaoka,,,,
Gradient,Motion of snakes 2021,Each row appears to move laterally.,https://images2.imgbox.com/73/43/ikfMQWfV_o.png,http://www.psy.ritsumei.ac.jp/~akitaoka/motion34e.html,,2021,Akiyoshi Kitaoka,,Color Gradients,,Kitaoka
Color motion,Rotating Snakes,蛇の円盤が勝手に回転して見える,https://images2.imgbox.com/eb/99/zvWvkAMT_o.gif,http://www.psy.ritsumei.ac.jp/~akitaoka/,,2003,Kitaoka,,,,
Gradient,Blue train 2021,The upper half appears to move leftward while the lower one rightward.,https://images2.imgbox.com/17/bc/EYk3QWNU_o.png,http://www.psy.ritsumei.ac.jp/~akitaoka/motion34e.html,,2021,Kitaoka,,Color Gradient,,Kitaoka
